Sr. No.,Site Name,Division,Road Name,Latitude,Longitude,Site Type,Site ID
1,4 Core,Cantt,Munir Road,31.517416,74.37591,PTSC,1719
2,AfshanChowk,Cantt,Aziz Bhati Road,31.52983,74.37939,PTSC,1709
3,AG Office,Civil Lines,Edward Road,31.56374,74.311258,PTSC,3732
4,Airport Road,Cantt,Defence Road,31.497029,74.420461,RLMS,1735
5,Alaudin-sarwar road,Cantt,Allaudin Road,31.526031,74.376444,PTSC,1711
6,Allouadin Shami signal,Cantt,Allaudin Road,31.526415,74.368585,PTSC,1712
7,Askari 10,Cantt,Airport Road,31.54149,74.41723,RLMS,1736
8,Australia Chowk,City,Brandeth Road,31.575562,74.33357,RLMS,2701
9,Avari Hotel(TS),Civil Lines,Mall Road,31.557575,74.327798,RLMS,3705
10,Awan Town,Sadar,Multan Road,31.50307,74.268149,PTSC,6726
11,Bagh Ali Chowk,Cantt,Bagh Ali Road,31.520001,74.381749,PTSC,1716
12,Bagrian Chowk,Sadar,Madar e Milat Road,31.432652,74.299813,PTSC,6714
13,Barkat Mkt Y Junction,Model Town,Main Boulevard Garden Town,31.500143,74.317285,RLMS,5707
14,Bashir Sons,Civil Lines,Mall Road,31.567523,74.311587,RLMS,3709
15,Begum Road,Civil Lines,Lytton Road,31.558964,74.309321,RLMS,3728
16,BhataChowk,Cantt,Defence Road,31.487627,74.412016,RLMS,1734
17,Bhati Chowk,Civil Lines,Circular Road,31.578247,74.308119,RLMS,3730
18,Bhekaywal Mor,Iqbal Town,Khyaban Jaima Punajb Road,31.510132,74.301464,RLMS,4708
19,Bobatian Chowk,Sadar,Raiwind Road,31.396521,74.230107,RLMS,6722
20,Bohar Wala Chowk,City,Allama Iqbal Road,31.572882,74.337627,PTSC,2708
21,Campus,Iqbal Town,Canal Road,31.504027,74.311634,RLMS,4703
22,Canal Mall,Civil Lines,Mall Road,31.543983,74.350079,RLMS,3702
23,Canal Wahdat Rd (Liaqat Ali Khan),Model Town,Canal Road,31.519807,74.326306,PTSC,5702
24,Centre Flats,Model Town,Abdul Hassan Isfahani Road,31.476845,74.309081,RLMS,5716
25,CMH Contonment signal,Cantt,Sarwar Road,31.540141,74.377204,RLMS,1705
26,Co-operative Store Junction,City,GT Road,31.575475,74.348836,RLMS,2707
27,Crown Cinema,Civil Lines,Alama Iqbal Road,31.563591,74.34533,PTSC,3719
28,Cuburgi Chowk,Civil Lines,Multan Road,31.55403,74.305091,PTSC,3735
29,Davis Road,Civil Lines,Mall Road,31.550855,74.341626,RLMS,3703
30,DHA Phase 12,Sadar,Multan Road,31.450876,74.20912,RLMS,6716
31,Dharampura Y Junction,Cantt,Alama Iqbal Road,31.552033,74.359963,RLMS,1701
32,Dharmpura,Civil Lines,Alama Iqbal Road,31.55365,74.35864,RLMS,3717
33,Diary chowk,Cantt,Sarfraz Rafiqui Road,31.54,74.382581,RLMS,1703
34,District Courts,City,Lower Mall,31.572867,74.306053,RLMS,2703
35,Doctor Hospital Chowk,Sadar,Canal Road,31.480355,74.280873,RLMS,6701
36,Dubai Chowk,Iqbal Town,Main Boulevard Alama Iqbal Town,31.518544,74.291837,RLMS,4709
37,Duty Free Shop,Civil Lines,Egerton Road,31.562848,74.335402,RLMS,3713
38,Egerton Road,Civil Lines,Egerton Road,31.561168,74.329369,RLMS,3715
39,Faisal Chowk ( Assembly Hall),Civil Lines,Mall Road,31.559711,74.324125,RLMS,3706
40,Faisal Town Round Abt.,Iqbal Town,Alama Shabir Ahmed Usmani Road,31.486585,74.304643,RLMS,4701
41,Fawara Chowk Mcleod Road,City,Mcloed Road,31.569419,74.328573,PTSC,2712
42,FC College Underpass,Model Town,Canal Road,31.526377,74.332717,RLMS,5701
43,Firdos Market,Model Town,Ali Zaib Road,31.50303,74.348804,PTSC,5710
44,Ganga Ram,Civil Lines,Queens Road,31.55527,74.32089,RLMS,3723
45,Garhi Shahu Chowk,Civil Lines,Alama Iqbal Road,31.56486,74.34439,RLMS,3720
46,Ghazi Chowk ( College Rd.),Sadar,College Road,31.43676,74.2907,RLMS,6707
47,"Ghora Chowk 
(Faisal Chowk)",Cantt,Khayaban e Iqbal,31.471325,74.368373,RLMS,1728
48,Gourmet Factory (Peco Road),Sadar,Peco Road,31.457694,74.328662,PTSC,6724
49,Governor House,Civil Lines,Mall Road,31.554254,74.335572,RLMS,3704
50,GPO Chowk,Civil Lines,Mall Road,31.565488,74.314408,PTSC,3731
51,Gulistan Cinema,Civil Lines,Abbot Road,31.565839,74.327662,RLMS,3721
52,Gulzar Underpass (SALB.),Iqbal Town,Canal Road,31.459756,74.327266,RLMS,4704
53,Gurumangat Chowk,Model Town,Gurumangat Road,31.506931,74.357589,RLMS,5709
54,Hafeez Centre,Model Town,Hali Road,31.516009,74.341406,RLMS,5705
55,Haji Camp,City,Empress Road,31.571977,74.335354,PTSC,2709
56,Hali Chowk,Model Town,Zahoor Ilahi Road,31.522201,74.345073,RLMS,5704
57,Hamdard Chowk,Sadar,Madar e Milat Road,31.44715,74.32024,RLMS,6711
58,Highcourt Chowk,Civil Lines,Mall Road,31.563896,74.315872,RLMS,3708
59,Hyperstar gate,Cantt,Shami Road,31.534311,74.368962,PTSC,1706
60,I.G Chowk,Cantt,Shami Road,31.529965,74.368736,RLMS,1707
61,International Hotel,Civil Lines,Mall Road,31.540285,74.354143,RLMS,3701
62,Jain Mandar,Civil Lines,Lytton Road,31.560924,74.308646,RLMS,3733
63,Judicial Colony (Ring Rd Chowk),Sadar,Canal Road,31.471877,74.247703,RLMS,6703
64,Karim Block Market,Iqbal Town,Molana Shoukat Ali Road,31.502026,74.282813,RLMS,4710
65,KhadimChowk,Cantt,Abdul Rehman Road,31.540023,74.379651,PTSC,1704
66,Khan Baba Hotel,Civil Lines,Multan Road,31.55627,74.305471,PTSC,3734
67,Kharak Nala,Sadar,Multan Road,31.508982,74.272185,RLMS,6725
68,Khokhar Chowk,Sadar,Abdul Haque Road,31.46959,74.27292,RLMS,6702
69,Khursheed Alam,Cantt,Shami Road,31.506906,74.368131,RLMS,1720
70,Khursheed-sarwar T-crossing,Cantt,Lahore Bedian Road,31.506948,74.375533,PTSC,1721
71,Kingdom Chowk,Cantt,Abid Majeed Road,31.522108,74.381888,RLMS,1715
72,Kngdom School Phase5,Cantt,Street 15,31.467086,74.396422,RLMS,1733
73,Kokhar Chowk(College Rd.),Sadar,College Road,31.45531,74.30104,RLMS,6708
74,Lahore Hotel,City,Mcloed Road,31.568964,74.328257,RLMS,2710
75,Lakshmi Chowk,City,Mcloed Road,31.567193,74.324956,RLMS,2711
76,LDA Avenue-I Raiwind,Sadar,Raiwind Road,31.42237,74.22979,RLMS,6720
77,LDA Plaza,Civil Lines,Egerton Road,31.56181,74.333137,PTSC,3714
78,Lesco Office,Sadar,Multan Road,31.51572,74.27643,PTSC,6724
79,Liaqat Chowk,Iqbal Town,Main Boulevard Sabzazar,31.52111,74.26992,RLMS,4711
80,LOS Nallah,Civil Lines,Multan Road,31.54643,74.29641,PTSC,3736
81,M.A.O College,City,Lower Mall,31.561981,74.304745,RLMS,2705
82,Marrian,Iqbal Town,Alama Shabir Ahmed Usmani Road,31.491487,74.309335,PTSC,4702
83,Mayo Garden,Civil Lines,Alama Iqbal Road,31.554789,74.356567,PTSC,3718
84,Mazang Adda,Civil Lines,Fane Road,31.559836,74.313738,RLMS,3725
85,MCB Gurumangat,Model Town,Gurumangat Road,31.523182,74.354908,PTSC,5708
86,McDonald,Cantt,Street 17,31.47482,74.377915,RLMS,1730
87,Medical Chowk,Cantt,Aziz Bhati Road,31.529814,74.376744,RLMS,1708
88,Mohammad Ali Chowk,Sadar,College Road,31.458864,74.302835,PTSC,6709
89,Mughalpura,Civil Lines,Canal Road,31.56248,74.38089,RLMS,3726
90,Multan Chungi,Sadar,Multan Road,31.49657,74.264127,RLMS,4713
91,Munir Crossing,Cantt,Munir Road,31.517302,74.381612,PTSC,1717
92,Muslim Chowk ( Madar-e-Milat Rd.),Sadar,Madar e Milat Road,31.435421,74.293845,PTSC,6715
93,Muslim League House,Civil Lines,Davis Road,31.555326,74.340419,RLMS,3711
94,Muslim Town Mor,Model Town,Wahadat Road,31.520733,74.324886,RLMS,5703
95,NadeemChowk,Cantt,Walton Road,31.506324,74.378452,RLMS,1722
96,Nappier Road Junction,Civil Lines,Mcloed Road,31.566033,74.316477,PTSC,3731
97,Naqsha Stop,Iqbal Town,Wahadat Road,31.51732,74.31649,RLMS,4705
98,Nawab Town Chowk,Sadar,Raiwind Road,31.44957,74.24255,RLMS,6717
99,Noklakha Chowk,City,Alama Iqbal Road,31.577119,74.334628,RLMS,2702
100,Nursery Chowk ( Madar-e-Milat Chowk),Sadar,Madar e Milat Road,31.45252,74.323759,PTSC,6710
101,P and D Chowk,Civil Lines,Lower Mall,31.566959,74.303889,RLMS,3729
102,Peer Bahar Shah,Cantt,Amjad Choudry Road,31.542281,74.400563,RLMS,1737
103,Phase 5 LGS,Cantt,Street 15,31.466122,74.393086,PTSC,1732
104,Plaza Cinema,Civil Lines,Queens Road,31.557111,74.322766,PTSC,3722
105,PMG Chowk,City,Mall Road,31.56954,74.30491,RLMS,2704
106,Pully Stop,Sadar,Madar e Milat Road,31.43693,74.3146,RLMS,6713
107,Quaid e Azam Interchange Intersection,Cantt,GT Road,31.590118,74.434577,RLMS,1738
108,RA  Bazar T Crossing,Cantt,Walton Road,31.506253,74.380914,RLMS,1723
109,Raza Block Stop,Iqbal Town,Wahadat Road,31.511578,74.304377,PTSC,4706
110,Regal Chowk,Civil Lines,Mall Road,31.56195,74.31907,RLMS,3707
111,Sabzazar Chowk,Iqbal Town,Multan Road,31.523967,74.282759,RLMS,6727
112,Safanwala Chowk,Civil Lines,Mozang Road,31.55769,74.317253,PTSC,3724
113,Samnabad,Civil Lines,Multan Road,31.543858,74.294771,PTSC,3737
114,Sarfarazraiqui Road,Cantt,Sarfarazraiqui Road,31.5299,74.38217,RLMS,1710
115,SarwarAbid Majeed,Cantt,sawar Abid Majeed,31.521961,74.376426,RLMS,1714
116,Scheme More,Iqbal Town,Multan Road,31.525698,74.283798,RLMS,4712
117,Secritariate,Civil Lines,Nabha Road,31.56639,74.30619,RLMS,3727
118,Services Club,Cantt,Munir Road,31.517463,74.378446,PTSC,1718
119,Shah Jilani Chowk,Sadar,Madar e Milat Road,31.44328,74.31795,PTSC,6712
120,Shami Chowk,Cantt,Shami Road,31.522428,74.368784,RLMS,1713
121,Sheikh Zaid,Iqbal Town,Khayaban Jamia Punjab,31.507069,74.307699,PTSC,4707
122,Shershah Colony,Sadar,Raiwind Road,31.414188,74.229515,PTSC,6721
123,Shimla Hill,Civil Lines,Davis Road,31.56168,74.33688,RLMS,3712
124,Tollinton Market,Civil Lines,Mall Road,31.5679,74.31009,RLMS,3710
125,VIP Chowk,Cantt,Zarrar Shahid Road,31.549709,74.383005,PTSC,1702
126,Y.Block Signal,Cantt,Defence Road,31.467662,74.380609,RLMS,1729
127,Z.Park Signal,Cantt,Street 36,31.478635,74.38092,PTSC,1731
128,Zaman Park,Civil Lines,Canal Road,31.55228,74.35669,RLMS,3716
